Event Picture Ref No,Event Name,Description,Interest,Start Time,End Time,Event Date,End Date,Repeat,Location,Lat/Lon,Website,Contact Number,Social media picture,Event picture,Fb Followers,Twitter Follower,Instagram Followers,,,,,,,,,,,,,,,,
Aria_B.jpg,Sage,"Experience a favorite with foodies from around the world.
James Beard Award-winning Chef Shawn McClain curates a fresh, ever-changing menu of contemporary American cuisine with global influences. With artisanal meats, sustainable seafood and farm-to-table produce, it?s simply impossible to go wrong here. Sage dresses up the freshest seasonal ingredients and transforms them into tempting culinary creations that take your taste buds on an adventure of their own.",Bars & Lounges,6:00:00 PM,10:30:00 PM,07.05.2018,31.12.2019,"Mon, Tue, Wed, Thu","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/sage.html,702 590 8690,Y,Y,"1,231",,,,,,,,,,,,,,,,,,
Aria_C.jpg,Jewel,"Spanning more than 24,000 square feet of precisely designed space, Hakkasan Group?s new nightlife experience, JEWEL, is as inviting as it is evocative; a rare ambient delight that must be experienced to be appreciated. Whether the headliner is a world class DJ or performer, JEWEL offers a multi-faceted experience for each guest and  event.
Spanning more than 24,000 square feet of precisely designed space, Hakkasan Group?s new nightlife experience, JEWEL, is as inviting as it is evocative; a rare ambient delight that must be experienced to be appreciated. Whether the headliner is a world class DJ or performer, JEWEL offers a multi-faceted experience for each guest and  event.
",Bars & Lounges,10:00:00 PM,4:00:00 AM,07.05.2018,31.12.2019,"Mon, Fri, Sat","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://jewelnightclub.com,702 590 8000,Y,Y,"53,392",,,,,,,,,,,,,,,,,,
Aria_D.jpg,Lobby Bar,"The number of different Signature Sips you can choose from as you wait for the rest of your group to arrive for your afternoon on the town.
When the mood strikes, it?s time to unwind with a mouthwatering cocktail at Lobby Bar. The prime location of Lobby Bar makes it the perfect place to kick-off an evening at ARIA before venturing to dinner or on to one of our other many bars and lounges. Depending on the vibe you?re seeking for the night, Lobby Bar also allows you the chance to break from the chaotic nightlife Las Vegas is famous for and just relax after a day of shopping at Crystals",Bars & Lounges,10:00:00 AM,2:00:00 AM,07.05.2018,31.12.2019,Everyday,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/nightlife/lobby-bar.html,702 891 1111,N,Y,No page,,,,,,,,,,,,,,,,,,
Aria_E.jpg,Alibi,"ALIBI Ultra Lounge, at ARIA Resort & Casino celebrates the perfect convergence of premium spirits, imaginative ingredients & highly stylized opulence.
With a timeless soundtrack and plush setting designed for unwinding, carousing and mingling, ALIBI sets the scene for any rendezvous. Channeling classic elegance paired with modern luxury, the design is highlighted by decadent imported granite and polished nickel & brass accents. Warm tones and rich fabrics are brought together with rich leather wrapped wood furnishings in a contemporary, yet elegant design",Bars & Lounges,12:00:00 PM,5:00:00 AM,07.05.2018,31.12.2019,"Mon, Tue, Wed, Thu, Fri","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/nightlife/alibi-ultra-lounge.html,702 693 8300,Y,Y,"2,253",,,,,,,,,,,,,,,,,,
Aria_E.jpg,Alibi,"ALIBI Ultra Lounge, at ARIA Resort & Casino celebrates the perfect convergence of premium spirits, imaginative ingredients & highly stylized opulence.
With a timeless soundtrack and plush setting designed for unwinding, carousing and mingling, ALIBI sets the scene for any rendezvous. Channeling classic elegance paired with modern luxury, the design is highlighted by decadent imported granite and polished nickel & brass accents. Warm tones and rich fabrics are brought together with rich leather wrapped wood furnishings in a contemporary, yet elegant design",Bars & Lounges,11:00:00 AM,5:00:00 AM,07.05.2018,31.12.2019,Sat,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/nightlife/alibi-ultra-lounge.html,702 693 8300,,,,,,,,,,,,,,,,,,,,,
Aria_E.jpg,Alibi,"ALIBI Ultra Lounge, at ARIA Resort & Casino celebrates the perfect convergence of premium spirits, imaginative ingredients & highly stylized opulence.
With a timeless soundtrack and plush setting designed for unwinding, carousing and mingling, ALIBI sets the scene for any rendezvous. Channeling classic elegance paired with modern luxury, the design is highlighted by decadent imported granite and polished nickel & brass accents. Warm tones and rich fabrics are brought together with rich leather wrapped wood furnishings in a contemporary, yet elegant design",Bars & Lounges,9:30:00 AM,5:00:00 AM,07.05.2018,31.12.2019,Sun,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/nightlife/alibi-ultra-lounge.html,702 693 8300,,,,,,,,,,,,,,,,,,,,,
Aria_F.jpg,Lift Bar,"The color that inspires many of the signature cocktails featured in this relaxed setting at the edge of ARIA?s gaming floor.
Enjoy masterfully crafted cocktails and live entertainment in a welcoming and refined atmosphere. A perfect place to relax in the midst of the best nightlife in Las Vegas, Lift Bar offers an exciting yet polished ambiance and offers a variety of custom cocktails, including a menu of posh purple drinks and special ?morning after? recipes. Whether you stop for a midday refreshment or include Lift Bar as part of your plans for nightlife on The Strip, you?ll take pleasure in the luxuriant style that surrounds you.",Lounges,12:00:00 AM,11:59:00 PM,07.05.2018,31.12.2019,Everyday,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/nightlife/lift-bar.html,702 590 7111,,,No page,,,,,,,,,,,,,,,,,,
Aria_G.jpg,Baccarat Lounge,"One of ARIA?s Signature Sips you can enjoy while savoring your recent victory at one of our many baccarat tables.
One of ARIA?s hidden gems, the Baccarat Lounge is an intimate bar located at the edge of the Baccarat Room. The posh ambience of the lounge complements the discerning atmosphere of ARIA and gives guests a welcome sanctuary from the exciting Las Vegas nightlife. Enjoy a drink in the relaxed and luxuriant lounge or at the impressively distinctive bar, both secluded and moments away from the best nightlife on The Strip.",Bars & Lounges,12:00:00 AM,11:59:00 PM,07.05.2018,31.12.2019,Everyday,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/nightlife/baccarat-lounge.html,702 693 7111,Y,Y,No page,,,,,,,,,,,,,,,,,,
Aria_H.jpg,High Limit Lounge,"Day and night, High Limit Lounge invites players to disappear from the rest of the world over a riveting high stakes game or a cocktail tryst. From the moment you enter, you know this is someplace different. The styling is beyond measure, though you can?t help but feel comfortable blending in. The mood fits yours and evolves with your interests. From blackjack and roulette to drinks and conversation, High Limit Lounge puts the very best in one place.",Bars & Lounges,12:00:00 AM,11:59:00 PM,07.05.2018,31.12.2019,Everyday,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/nightlife/high-limit-lounge.html,702 791 7111,Y,Y,No page,,,,,,,,,,,,,,,,,,
Aria_I.jpg,Sports Bar,The temperature of the draft beer that keeps you cool as the big game heats up.,Bars & Lounges,12:00:00 AM,11:59:00 PM,07.05.2018,31.12.2019,"Mon, Tue, Wed","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/nightlife/sports-bar.html,702 791 7111,Y,Y,No page,,,,,,,,,,,,,,,,,,
Aria_I.jpg,Sports Bar,The temperature of the draft beer that keeps you cool as the big game heats up.,Bars & Lounges,12:00:00 AM,11:59:00 PM,07.05.2018,31.12.2019,"Thu, Fri, Sat, Sun","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/nightlife/sports-bar.html,702 791 7111,,,,,,,,,,,,,,,,,,,,,
