ROO,Event Name,Description,Interest,Start Time,End Time,Event Date,End Date,Repeat,Location ,Lat/Long,Website,Contact Number
Mandalay_8.jpg,Nashville Unplugged,"The Story Behind The SongThe Story behind the Song. A songwriter in the round show that brings the most successful, hit songwriters from Nashville right to you. Every Friday night at Rhythm & Riffs starting at 8pm. No cover.Nashville Unplugged is once again bringing country music fans _the story behind the song_ as the longest-running songwriter series outside of Nashville, TN. Nashville Unplugged has become the place to go in Las Vegas for an impromptu, country music performance. Over the last nine years the acoustic series has included performances from the writers of Garth Brooks_ _More than a Memory,_ Gary Allan_s _Nothing on But the Radio_ and Carrie Underwood_s _Something in the Water._The complimentary show gives songwriters of some of the biggest country music hits the chance to showcase their music and provide the stories behind their famous lyrics. The intimate, all-acoustic show offers an interactive experience that allows songwriters and the audience to connect through music. With different entertainers on the roster each week, guests have the unique opportunity to see an original show every Friday night.",Bars & Lounges,12:00:00 AM,11:59:00 PM,11.01.2019,31.12.2019,Fri,"3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/entertainment/nashville-unplugged.html,
Mandalay_10.jpg,Bikini Bar,"Belly up to the Bikini Bar by the beach and have a frozen margarita or pi¤a colada. What a great way to chill.  ",Bars & Lounges,8:00:00 AM,5:00:00 PM,01.03.2019,31.12.2019,Everyday,"3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/nightlife/lounges-and-bars.html,
Mandalay_11.jpg,Charlie Palmer Steak Lounge,"Best Steakhouse in Las VegasVoted ""best steakhouse in Las Vegas"" by the Las Vegas Review Journal just four months after opening, Charlie Palmer Steak provides a clubhouse atmosphere of quiet luxury favored by sophisticated diners. Chef de Cuisine Steve Blandino's menu satisfies with an excellent selection of traditional cuts including a Charcoal Grilled Filet Mignon in and a 28-day aged Bone in Rib Eye. The wine list, specializing in exciting new producers from up and down the West Coast, also offers a wide range of Old-World wines from the Rhone Valley, Bordeaux, Burgundy, Spain, Germany and Italy, as well as ""Wines for the Adventuresome.""",Bars & Lounges,5:00:00 PM,10:30:00 PM,11.01.2019,31.12.2019,"Mon, Tue, Wed, Thu, Fri, Sat","3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/restaurants/charlie-palmer-steak-at-four-seasons.html,702 632 5120
Mandalay_12.jpg,Eyecandy Sound Lounge,"Located in the heart of the casino actionRelax and enjoy a cocktail or move your feet to live music by the best of Deftal DJs and VJs on our dance floor. Located in the heart of Mandalay Bay_s Casino floor, Eyecandy sound lounge offers the best ambiance for a casual social scene surrounded by the energy of the casino action.",Bars & Lounges,5:00:00 PM,1:00:00 AM,11.01.2019,31.12.2019,Everyday,"3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/nightlife/eyecandy-sound-lounge.html,702 632 4760
Mandalay_13.jpg,Big Chill,"Located on the casino floor near the entrance to the shoppes at Mandalay Place, Big Chill offers signature frozen drinks, as well as a full cocktail menu. Enjoy your favorite frozen beverage served in a specialty souvenir cup with special pricing on refills.",Bars & Lounges,11:00:00 AM,4:00:00 AM,11.01.2019,31.12.2019,"Mon, Tue, Wed, Thu","3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/nightlife/lounges-and-bars.html,
Mandalay_13.jpg,Big Chill,"Located on the casino floor near the entrance to the shoppes at Mandalay Place, Big Chill offers signature frozen drinks, as well as a full cocktail menu. Enjoy your favorite frozen beverage served in a specialty souvenir cup with special pricing on refills.",Bars & Lounges,10:00:00 AM,4:00:00 AM,11.01.2019,31.12.2019,"Sat, Sun","3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/nightlife/lounges-and-bars.html,
Mandalay_14.jpg,Fat Tueday,"Home of the famous 190 Octane Daiquiri, Fat Tueday is famous for the world's largest selection of frozen drinks and its festive Mardi Gras atmosphere direct from Bourbon Street. Open early and closing late, Fat Tueday brings a bit of Southern hospitality to The Shoppes at Mandalay Place.",Bars & Lounges,10:00:00 AM,1:00:00 AM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/nightlife/lounges-and-bars.html,702 597 2696
Mandalay_14.jpg,Fat Tueday,"Home of the famous 190 Octane Daiquiri, Fat Tueday is famous for the world's largest selection of frozen drinks and its festive Mardi Gras atmosphere direct from Bourbon Street. Open early and closing late, Fat Tueday brings a bit of Southern hospitality to The Shoppes at Mandalay Place.",Bars & Lounges,10:00:00 AM,2:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/nightlife/lounges-and-bars.html,702 597 2696
Mandalay_15.jpg,Foundation Room,"Recapture the splendors of a sophisticated night out, from happy hour to bottle service; to taking in one of our live music entertainment or renowned club nights. Immerse yourself in our DEITY dancer experience; party the night away amidst the Vegas lights with these out of this world Nightlife Goddess_s; who add the perfect touch of high-class debauchery as you take in the best view of the Vegas strip, mix and mingle with guests to lay the perfect foundation for a Vegas experience you_ll never forget.",Bars & Lounges,6:00:00 PM,2:00:00 AM,11.01.2019,31.12.2019,Everyday,"3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/nightlife/lounges-and-bars.html,702 632 7631
Mandalay_16.jpg,Minus5§ Ice Bar,"Named for its constant frosty temperature (-5§ Celsius or 23§ Fahrenheit), the minus5§ Ice Bar lets you explore intricately handcrafted ice sculptures and ice architecture. Everything that surrounds you is made of ice from the walls, the seats, the chandeliers to even the cocktail glasses you drink from. This unique, one-of-a-kind ice experience is sure to create some fun and amazing memories for you and your friends.For private functions, minus5§ can create custom ice sculptors, or freeze your product inside of ice to display at your event. Anything you can imagine can be created with ice from your corporate logo to large scale replicas.",Bars & Lounges,11:00:00 AM,1:00:00 AM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/nightlife/minus5-ice-bar.html,702 632 7714
Mandalay_16.jpg,Minus5§ Ice Bar,"Named for its constant frosty temperature (-5§ Celsius or 23§ Fahrenheit), the minus5§ Ice Bar lets you explore intricately handcrafted ice sculptures and ice architecture. Everything that surrounds you is made of ice from the walls, the seats, the chandeliers to even the cocktail glasses you drink from. This unique, one-of-a-kind ice experience is sure to create some fun and amazing memories for you and your friends.For private functions, minus5§ can create custom ice sculptors, or freeze your product inside of ice to display at your event. Anything you can imagine can be created with ice from your corporate logo to large scale replicas.",Bars & Lounges,11:00:00 AM,2:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/nightlife/minus5-ice-bar.html,702 632 7714
Mandalay_18.jpg,Russian Food with a Modern Twist,"Red Square at Mandalay Bay Resort & Casino is the premier dinner, cocktail, and nightlife destination.Chef Chris Conlon has created the exquisite menu _ featuring easy-to-share plates including Steak Tartare, Chicken Kiev with Bacon Brussels Sprouts and an impressive caviar selection _ which will take contemporary American favorites and infuse them with exciting global influences. Along with its famous frozen Ice Bar and private vodka vault, Red Square will feature an incomparable vodka selection, as well as an intriguing list of signature cocktails and martinis created by a team of master mixologists, creating the perfect nighttime destination.",Bars & Lounges,4:00:00 PM,11:00:00 PM,11.01.2019,31.12.2019,Everyday,"3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/restaurants/red-square-restaurant-and-lounge.html,702 632 7407
Mandalay_19.jpg,Libertine Social,"Eat. Drink. Liberate.James Beard Award-winning chef Shawn McClain challenges diners to free their minds from preconceived notions about Las Vegas restaurants and get ready to eat, drink and liberate at Mandalay Bay_s latest hotspot, Libertine Social. The next-generation gastropub will stimulate the senses with New American bar food by the renowned chef, a pioneering cocktail program by Modern Mixologist Tony Abou-Ganim and a range of compelling atmospheres to fit diners_ motivations.",Bars & Lounges,3:00:00 PM,10:30:00 PM,11.01.2019,31.12.2019,Everyday,"3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/restaurants/libertine-social.html,702 632 7200
Mandalay_20.jpg,Ri Ra Irish Pub,"The true Irish pub experienceConstructed from a pub meticulously restored in Ireland then shipped to Mandalay Place, R¡ R  epitomizes the true Irish pub experience with its comfortable neighborhood environment where conversation flows as smoothly as Guinness ebbs in the glass. Offering an impressive lineup of live music, a comprehensive drink list and fare that defies pub standards, the latest endeavor from Irish natives and longtime friends David Kelly & Ciaran Sheehan and their American partner, Jay Luther, also delivers live entertainment seven nights a week, including traditional Irish Sessions and visiting bands direct from Ireland.",Bars & Lounges,8:00:00 AM,3:00:00 AM,11.01.2019,31.12.2019,"Mon, Tue, Wed, Thu, Fri","3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/restaurants/ri-ra-irish-pub.html,702 632 7771
Mandalay_20.jpg,Ri Ra Irish Pub,"The true Irish pub experienceConstructed from a pub meticulously restored in Ireland then shipped to Mandalay Place, R¡ R  epitomizes the true Irish pub experience with its comfortable neighborhood environment where conversation flows as smoothly as Guinness ebbs in the glass. Offering an impressive lineup of live music, a comprehensive drink list and fare that defies pub standards, the latest endeavor from Irish natives and longtime friends David Kelly & Ciaran Sheehan and their American partner, Jay Luther, also delivers live entertainment seven nights a week, including traditional Irish Sessions and visiting bands direct from Ireland.",Bars & Lounges,9:00:00 AM,3:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/restaurants/ri-ra-irish-pub.html,702 632 7771
Mandalay_21.jpg,1923 Bourbon Bar,"The glamorous, speakeasy-style venue transports guests to the Prohibition-era boasting custom scratch cocktail, barrel-aged bourbon and premium hand-rolled cigars.1923 Bourbon Bar is the perfect venue to entertain your clients, employees or friends & families, to an unforgettable speakeasy experience during their stay in Las Vegas. A classy & unique place for corporate events, team building, weddings, and various group functions.The glamorous, speakeasy-style venue transports guests to the Prohibition-era boasting custom scratch cocktail, barrel-aged bourbon and premium hand-rolled cigars.1923 Bourbon Bar is the perfect venue to entertain your clients, employees or friends & families, to an unforgettable speakeasy experience during their stay in Las Vegas. A classy & unique place for corporate events, team building, weddings, and various group functions.The glamorous, speakeasy-style venue transports guests to the Prohibition-era boasting custom scratch cocktail, barrel-aged bourbon and premium hand-rolled cigars.1923 Bourbon Bar is the perfect venue to entertain your clients, employees or friends & families, to an unforgettable speakeasy experience during their stay in Las Vegas. A classy & unique place for corporate events, team building, weddings, and various group functions.The glamorous, speakeasy-style venue transports guests to the Prohibition-era boasting custom scratch cocktail, barrel-aged bourbon and premium hand-rolled cigars.1923 Bourbon Bar is the perfect venue to entertain your clients, employees or friends & families, to an unforgettable speakeasy experience during their stay in Las Vegas. A classy & unique place for corporate events, team building, weddings, and various group functions.",Bars & Lounges,7:00:00 PM,1:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",,702 912 4001
Mandalay_22.jpg,B Side At House of Blues,"Enjoy the flipside of House of Blues at B Side! A nice mix of what House of Blues is known for, live music and concerts...B Side lounge becomes a harmonious mix of a truly intimate great live music vibe alongside an equally unparalleled culinary experience.Boasting a palette provoking gastrolounge fare with favorites like Lobster Smack & Cheese, Southern Affection or Heirloom Tomato & Watermelon and a specialty cocktail menu sipping gems, such as: Southern Lemonade, Kentucky Cooler or Dove Margarita_it_s the B Side to House of Blues, a little edgier, a little rowdier, a little more fun!Bottle Service starting at $150",Bars & Lounges,5:00:00 PM,2:00:00 AM,11.01.2019,31.12.2019,Everyday,"3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",,702 632 607
